Número	NCidade	Local	Idade	Cidade	Tempo	Bairro	Cor	Religião	Religião_qual	Estudando	Estudo	Casa	Qualeotipodehabitacao	Habit_outro	Habit_alug	Comodos	Trabalho	Recursos	Renda_familiar	Renda_div_pessoa	Renda_da_familia	Classe	Civil
19	1	3	21	1	1	1	3	1	1	1	3	6	1		1	3	1	100	800	6	133	Pobre	Casada
20	1	2	18	1	1	2	1	1	1	1	5	5	1		1	3	3		730	5	146	Meio Média	casada
21	1	2	18	2	4	2	3	1	1	2	5	3	1		1	3	3		465	3	155	baixa	Mora Junto
22	1	4	18	2	2	1	3	2		1	3	7	1		3	3	4	150	600	7	86	miserável	solteira
23	1	2	16	2	3	2	3	2		2	3	10	1		3	4	3		730	10	73	pobre	solteira
24	1	2	22	1	1	2	2	1	1	2	5	8	1		3	3	1	200	500	8	63	abaixo da linha da pobreza	solteira
25	1	2	17	1	1	1	3	1	2	2	5	5	1		1	4	3			98		médio	mora junto
26	1	4	20	2	4	2	1	2		2	3	6	1		2	3	2	100	400	6	67	média	solteira
27	1	4	22	4	4	2	5	2		1	5	4	1		1		2	112	112	3	37	baixa	solteira
28	1	2	19	1	1	2	1	2		1	5	5	1		3	3	1	240	700	5	140	Classe média	solteira
29	1	4	21	1	1	2	3	2		2	3	5	1		6	3	1	465	900	5	180	Pobre	Não sabe o que significa
30	1	3	21	2	3	2	3	1	1	2	5	2	1		3	3	1	550	800	2	400	baixa	solteira
31	1	4	17	1	1	2	1	1	1	1	5	5	1		1	4	2	250	1000	5	200	Média/baixa	solteira
32	1	3	17	1	1	1	3	1	2	2	5	6	1		1	4	3		450	6	75	baixa	solteira
33	1	4	18	1	1	1	3	2		2	3	7	1		1	1	3					Afirmou não ter classe	solteira
34	1	3	19	1	1	1	1	2		2	4	3	1		2	3	3		80	3	27	normal	mora junto
35	1	2	19	2	1	1	3	1	1	2	5	4	1		1	3	3		400	4	100	pobre	solteira
36	1	2	18	1	2	1	3	2		2	3	3	1		3	3	3		400	3	133	Não soube informar	amigada
37	1	4	21	1	1	1	3	1	1	2	5	3	1		1	3	2	190	190	3	63	humilde	solteira
38	1	4	19	1	1	1	1	1	1	2	6	3	1		1	3	1	300	900	3	300	Pobre	Mora Junto
39	1	4	22	1	1	1	2	2		2	6	9	1		1	4	2	90	400	9	44	Baixa	Solteira
40	1	4	21	1	1	1	3	1	1	2	3	4	1		1	3	3		70	4	18	Pobre	Mora Junto
41	1	2	19	1	1	1	1	2		2	3	2	1		1	3	3		250	2	125	Baixa	Solteira
42	1	3	21	1	1	1	1	1	1	2	3	3	1		1	3	3		400	3	133	Não soube informar	Solteira
43	1	4	21	3	2	1	3	1	1	2	3	4	1		4	3	2	90	500	4	125	Não soube informar	Casada
44	1	4	19	1	1	1	1	1	2	2	3	3	1		1	3	2	300	300	3	100	Não soube informar	Solteira
45	1	2	17	1	1	1	1	1	2	1	3	5	1		1	3	3		400	5	80	Não soube informar	Casada
46	1	3	19	1	1	1	2	2		2	6	3	1		1	3	3		200	3	67	Baixíssima	Amigada
47	1	4	20	1	1	1	3	1	1	2	3	3	1		3	3	3		500	4	125	Pobre	amigada
48	1	3	20	1	1	1	2	2		2	3	5	1		1	3	1	500	700	5	140	Normal	Solteira
49	1	1	18	1	1	1	3	1	2	1	5	6	1		3	4	1	140	560	6	93	baixa	solteira
50	1	2	20	2	3	1	3	1	6	1	3	3	1		3	4	1	360	900	3	300	estável	casada
51	1	3	20	1	1	1	3	1	2	2	5	3	1		2	4	3		500	3	167	baixa	solteira
52	1	3	21	1	1	1	3	2		2	3	3	1		3	3	2	370	370	3	123	baixa	solteira
53	1	1	18	1	1	2	1	2		1	5	5	1		1	4	3		930	5	186	Não soube informar	amigada
54	1	3	18	1	1	1	3	2		2	3	2	1		4	3	3					Nâo sabe	solteira
55	1	3	20	1	1	1	1	1	1	2	3	10	1		1	4	3		1395	10	140	Pobre	solteira
56	1	2	18	1	1	1	6	2		2	3	3	1		3	4	2	20	500	3	167	simples	solteira
57	1	3	19	1	1	1	3	1	1	2	3	3	1		3	3	3		400	3	133	média	solteira
58	1	2	15	1	1	1	3	1	2	2	3	4	1		4	3	3		530	4	133	Nâo sabe	amigada
59	1	2	16	1	1	1	3	2		2	5	3	1		1	3	3		300	3	100	baixa	mora junto
60	1	4	22	1	1	1	3	1	2	2	5	4	1		1	3	2	110	110	4	28	médio	solteira
61	1	1	21	1	1	1	6	2		1	5	4	1		1	4	2	150	150	2	75	baixa	solteira
62	1	1	22	1	1	1	3	1	1	2	6	4	1		1	4	2	90	900	4	225	baixa	solteira
63	1	2	20	2	1	1	99	2		1	7	4	1		1	4	1	150	1000	99	10	baixa	solteira
64	1	3	19	1	1	1	3	1	2	2	6	6	1		1	4	3		1	99	0	Baixa	solteira
65	1	2	19	1	1	1	1	2		2	5	3	1		1	4	2	90	1	98	0	pobre	solteira
66	1	1	20	1	1	1	3	2		2	5	3	1		1	5	3		500	3	167	Nâo sabe	solteira
67	1	2	17	2	2	1	6	2		2	3	9	1		1	4	3		400	9	44	Nâo sabe	solteira
68	1	2	19	1	1	1	3	2		2	3	5	1		1	4	3		1500	5	300	média	solteira
69	1	2	19	1	1	1	2	2		2	3	6	1		3	4	3		300	6	50	nada	solteiro
70	1	2	19	1	1	1	3	2		2	5	7	1		2	3	3		465	7	66	média	solteira
71	1	3	19	1	1	1	2	2		1	3	5	1		2	4	2	200	700	6	117	baixa	solteira
72	1	2	19	1	1	1	2	2		2	3	4	1		3	4	1	400	700	4	175	pobre	solteiro
73	1	3	19	1	1	1	1	2		2	3	3	1		1	4	3		765	8	96	média	solteiro
74	1	4	16	2	4	1	3	2		2	3	3	3		3	1	3		300	5	60	baixa	solteiro
75	1	2	15	1	1	1	3	1	2	1	5	3	1		1	3	3		80	3	27	pobre	solteiro
76	1	4	21	2	4	1	2	1	2	2	6	7	1		2	4	2	90	2200	7	314	pobre	solteira
77	1	3	22	1	1	1	2	1	2	2	3	4	1		3	3	2	400	865	4	216	média	solteira
78	1	2	18	1	1	1	3	1	2	2	5	8	1		1	4	3		1	8	0	nenhuma	solteira
79	1	2	18	2	1	1	2	2		1	5	7	1		2	4	2	145	610	7	87	Nâo sabe	solteira
80	1	3	17	2	4	1	3	2		2	3	6	6	barraco	1	3	3		520	4	130	baixa	solteiro
81	1	3	17	2	4	1	1	2		2	5	6	1		3	3	3		800	6	133	baixa	solteira
82	1	3	20	1	1	1	2	1	2	2	5	6	1		4	3	3		1	98	0	médio	amigado
83	1	3	21	2	2	1	1	2		2	3	4	1		1	3	3		350	4	88	pobre	solteira
84	1	3	21	1	1	1	1	2		2	3	12	1		1	4	3		600	12	50	média	solteira
85	1	4	19	1	1	1	3	1	1	2	6	7	1		1	3	3		700	98	7	baixa	solteira
86	1	4	15	1	1	1	3	1	1	2	3	9	1		1	3	3		600	9	67	pobre	solteiro
87	1	2	20	1	1	1	2	2		2	3	3	1		3	3	4	100	500	3	167	média	amigado
88	1	3	20	1	1	1	3	1	1	2	4	3	1		3	3	3		100	3	33	baixa	mora junto
89	1	4	21	1	1	1	3	1	2	2	6	5	2		1	4	1	530	650	5	130	pobre	solteira
90	1	4	21	1	1	1	3	2		2	5	3	1		3	3	3		450	3	150	pobre	casada
91	1	4	20	1	1	1	3	2		2	5	7	1		1	4	1	530	1200	7	171	média	solteira
92	1	2	15	1	1	1	3	2		2	3	5	1		1	3	1	80	600	98	6	média	solteira
93	1	4	18	1	1	1	1	1	1	2	6	3	1		1	4	3		1000	3	333	casada	5
94	1	3	19	1	1	1	3	2		2	3	5	1		1	4	3		400	5	80	Não sabe	solteira
95	1	2	19	1	1	1	2	1	1	1	3	4	1		3	3	3		400	4	100	Não sabe	solteira
96	1	4	18	1	1	1	3	1	1	2	3	3	3		3	3	3		240	3	80	Não sabe	solteira
97	1	3	18	2	4	1	3	2		2	3	4	1		1	3	1	400	600	4	150	média	solteira
98	1	3	20	1	1	1	3	2		2	3	4	1		3	3	3		465	4	116	baixa	solteira
99	1	3	21	1	1	1	3	2		1	4	3	1		3	3	2	100	200	3	67	média	solteira
100	1	3	19	1	1	1	1	1	1	2	5	8	1		1	4	2	90	800	8	100	baixa	solteira
101	3	1	1	1	1	1	3	2		2	3	5	1		1	5	3		2500	5	500	média	solteira
102	1	4	21	2	3	1	3	1	1	2	5	4	1		3	3	2	350	400	4	100	baixa	solteira
103	1	4	17	1	1	1	2	1	1	1	5	6	1		2	4	2	100	1000	6	167	baixa	solteira
104	1	2	21	1	1	1	2	2		1	3	4	1		2	3	1	300	900	4	225	pobre	casada
105	1	3	17	1	1	1	3	2		1	5	3	1		1	3	3		465	3	155	Não sabe	solteira
106	1	4	19	1	1	1	3	2		2	5	5	1		1	3	3		300	5	60	média	solteira
107	1	3	19	2	2	1	2	1	1	2	3	6	3		3	3	3		500	5	100	média	solteira
108	1	4	21	1	1	1	3	1	2	2	3	2	6	barraco	1	3	2	90	90	2	45	baixa	solteira
109	1	2	17	1	1	1	98	2		2	3	7	1		1	4	3		465	7	66	Não sabe	solteira
110	1	2	17	1	1	1	3	2		2	5	6	1		1	3	3		324	6	54	média	solteira
111	1	2	20	1	1	1	1	1	2	2	4	5	1		1	4	3		465	4	116	Não sabe	solteira
112	1	2	19	1	1	1	3	2		2	5	2	1		1	3	2	280	1000	2	500	baixa	solteira
113	1	2	20	4	4	1	1	1	2	1	6	3	1		1	4	2	500	800	3	267	média baixa	solteira
114	1	3	19	1	1	1	2	2		2	6	5	6	residência	1	4	3		2000	5	400	pobre	solteira
115	1	2	18	1	1	1	2	2		2	3	4	1		1	3	3		400	4	100	nem rica nem pobre	casada
116	1	3	18	1	1	1	3	1	2	1	5	4	1		1	4	2	30	300	4	75	baixa	solteira
117	2	1	16	1	1	1	3	2		1	5	5	1		3	4	2	60	1000	5	200	média	solteira
118	1	3	16	2	2	1	3	2		2	3	6	1		3	3	3		510	6	85	Não sabe	Não sabe
119	1	2	21	1	1	1	3	1	2	2	5	4	1		1	3	2	120	640	4	160	média	solteira
120	1	4	22	1	1	1	3	1	1	1	3	2	6	duplex	3	3	3		500	2	250	média baixa	solteira
121	1	4	18	1	1	1	3	2		2	3	5	1		1	3	3		600	5	120	baixa	solteira
122	1	4	19	3	2	1	2	1	2	2	6	3	1		3	3	3		512	3	171	não sabe	casada
123	1	4	19	1	1	1	6	2		2	3	3	1		1	3	3		1000	3	333	pobre	solteira
124	1	2	21	2	4	1	5	2		2	5	6	1		2	3	2	112	450	6	75	nem rico nem pobre	separada
125	1	3	17	1	1	1	2	2		1	3	6	1		3	3	2	53	200	6	33	não sabe	solteira
126	1	4	22	1	4	1	2	1	1	1	5	3	1		1	3	1	518	700	3	233	pobre	solteira
127	1	2	21	1	3	1	2	1	1	2	3	3	1		1	3	2	200	200	3	67	média	solteira
128	1	2	20	2	2	1	3	1	1	2	5	3	1		3	3	3		400	3	133	pobre	solteira
129	1	2	17	2	4	1	1	1	2	2	5	5	1		1	3	3		1000	4	250	média	casada
130	1	2	16	1	4	1	1	1	1	1	5	6	1		1	4	2	52	2000	6	333	média baixa	solteira
131	1	2	18	1	1	1	1	1	1	2	6	3	1		1	3	2	1	1000	3	333	baixa	solteira
132	1	2	16	1	1	1	2	1	1	2	5	7	1		1	3	3		1200	7	171	pobre	solteira
133	1	2	21	1	1	1	3	2		2	6	3	1		1	3	3		400	3	133	baixa	solteira
134	1	2	18	1	1	1	1	1	2	1	3	8	1		1	4	3		500	8	63	baixa	solteira
135	1	2	17	1	1	1	3	2		2	4	6	1		1	4	3		465	6	78	média	solteira
136	1	2	16	1	4	1	1	1	1	1	5	8	1		1	4	3		465	8	58	baixa	solteira
137	1	3	19	1	1	1	1	1	1	1	5	6	1		1	4	3		4000	6	667	baixa	solteira
138	1	2	22	1	1	1	2	2		1	5	4	1		3	3	2	90	465	4	116	baixa	solteira
139	1	2	22	1	1	1	3	1	1	1	5	2	1		3	3	1	490	530	2	265	pobre	casada
140	1	2	21	2	2	1	3	2		2	6	6	1		3	3	3		900	6	150	baixa	solteira
141	1	3	18	1	1	1	1	1	1	2	5	5	1		1	3	3		500	5	100	solteira	1
142	1	2	18	1	4	1	1	1	1	1	5	6	1		1	3	3		600	6	100	baixa	solteira
143	1	2	16	1	1	1	2	2		2	5	4	1		1	3	3		300	4	75	baixa	solteira
144	1	2	17	1	2	1	1	2		2	3	5	1		3	3	3		500	5	100	baixa	solteira
145	1	2	21	1	1	1	3	2		2	3	4	1		3	3	3		250	4	63	pobre	solteira
146	1	2	19	1	1	1	3	1	1	2	6	7	1		1	4	3		500	7	71	baixa	solteira
147	1	3	22	1	1	1	3	2		2	4	7	1		1	4	2	221	1200	7	171	pobre	solteiro
148	1	4	20	3	3	1	2	1	2	2	3	3	1		4	3	2	90	200	3	67	pobre	solteiro
149	1	2	20	1	1	1	3	2		1	3	4	1		1	4	3		700	4	175	baixa	solteiro
150	1	3	17	1	1	1	98	2		2	3	6	1		1	3	3		465	6	78	não sabe	solteiro
151	1	3	18	1	2	1	6	2		2	3	8	1		1	4	3		465	8	58	média	solteiro
152	1	2	20	1	1	1	3	2		2	4	3	1		1	4	3		465	3	155	baixa	solteiro
153	1	4	18	1	1	1	5	2		2	5	4	1		1	3	4	250	450	4	113	pior que tem	solteiro
154	1	3	22	1	2	1	3	2		2	4	4	1		3	3	2	112	812	4	203	humilde	solteiro
155	1	3	20	1	1	1	3	1	1	1	5	4	1		3	3	2	112	612	4	153	pobre	solteiro
156	1	2	20	1	1	1	3	1	1	1	7	5	1		1	4	3		900	5	180	média	solteira
157	1	2	19	1	1	1	1	2		2	3	3	1		3	3	3		400	3	133	média	solteira
158	1	4	19	1	1	1	3	1	1	2	5	2	1		1	3	2	150	200	2	100	média	solteira
159	1	2	20	1	1	1	2	2		2	5	3	1		3	3	4	100	560	3	187	baixa	solteira
160	1	4	22	1	1	1	1	2		2	3	3	1		1	3	2	112	112	3	37	pobre	solteiro
161	1	3	19	1	1	1	3	1	2	2	6	3	1		6	3	3		200	3	67	média	solteiro
162	1	4	19	1	1	1	1	2		2	5	3	1		3	3	1	300	700	3	233	pobre	solteira
163	1	3	19	1	1	1	3	1	1	2	3	5	1		1	4	3		1500	98	15	pobre	solteira
164	1	3	17	1	1	1	1	1	2	2	4	8	1		1	4	2	132	2000	8	250	média	solteira
165	1	3	20	1	1	1	3	2		2	6	3	1		1	3	3		460	3	153	baixa	mora junto
166	1	3	18	1	1	1	5	1	1	2	3	2	1		3	3	3		0	0		pobre	solteiro
167	1	3	20	1	1	1	3	1	2	2	6	5	1		1	4	1	460	1500	5	300	média	solteiro
168	1	4	18	1	3	1	2	2		2	3	6	1		3	3	3		815	6	136	não sabe	não sabe
169	1	3	19	1	4	1	3	2		1	3	4	1		1	3	2	90	500	98	5	pobre	solteira
170	1	2	20	3	2	1	5	1	1	2	3	4	1		1	3	3		250	2	125	não sabe	não sabe
171	1	3	19	1	1	1	3	1	6	2	6	6	1		2	4	3		400	6	67	baixa	solteira
172	1	2	20	1	1	1	5	2		1	3	7	1		1	3	3		900	7	129	normal	solteira
173	1	2	22	1	1	1	1	1	2	2	5	4	1		1	3	2	90	600	4	150	baixa	solteira
174	1	3	17	2	1	1	1	2		2	3	3	1		1	3	3		460	3	153	não sabe	não sabe
175	1	1	17	2	3	1	3	2		2	3	4	1		3	3	2	130	300	4	75	média	casada
176	1	1	20	1	4	1	3	1	5	2	3	2	1		1	3	4	300	300	2	150	pobre	solteira
177	1	1	20	1	98	1	3	2		1	6	4	2		1	3	1	240	300	4	75	pobre	solteira
178	1	1	19	1	4	1	1	2		2	3	5	1		1	3	3		465	5	93	pobre	casada
179	1	1	21	4	2	1	3	2		2	5	8	2		1	3	3		800	7	114	pobre	solteira
180	1	1	21	2	4	1	3	2		1	3	7	1		1	3	2	210	700	7	100	média	solteira
181	1	1	21	1	4	1	1	1	2	2	4	3	1		1	4	3		600	3	200	média	casado
182	1	1	21	1	4	1	2	1	1	1	4	3	1		1	3	2	66	350	3	117	pobre	casada
183	1	1	20	2	3	1	1	2		1	4	3	2		3	4	3		2000	3	667	classe média	mora junto
184	1	3	20	1	1	1	2	2		1	5	7	1		1	3	3		550	7	79	média	solteira
185	1	3	22	1	1	1	1	1	1	2	5	5	1		1	3	3		965	5	193	normal	casada
186	1	2	18	2	3	1	2	2		2	4	6	1		3	4	3		1	6	0	baixa	solteira
187	1	2	17	1	1	1	1	1	3	1	5	7	1		2	3	2	150	1395	7	199	não sabe	solteira
188	1	4	20	1	1	1	1	2		1	3	3	1		2	3	2	190	200	3	67	média	solteira
189	1	4	18	2	3	1	6	2		2	3	4	1		3	3	3		700	4	175	não sabe	solteira
190	1	2	19	1	1	1	3	2		2	3	4	1		1	4	3		900	4	225	não sabe	solteira
191	1	2	17	1	1	1	3	2		1	3	4	1		1	3	3		92	3	31	não sabe	solteira
192	1	3	19	1	3	1	2	1	1	2	5	3	1		1	3	3		320	3	107	média	solteira
193	1	3	17	2	2	1	1	1	1	2	3	7	1		3	4	3			7		não sabe	solteira
194	1	3	21	1	1	1	3	1	1	2	3	9	1		1	4	2	90	1	98	0	não sabe	solteira
195	1	2	20	1	1	1	3	1	2	1	3	3	1		3	3	2	90	700	3	233	média	solteira
196	1	1	20	1	4	1	2	1	1	2	5	4	1		3	3	1	70	300	6	50	baixa	solteira
197	1	2	22	1	1	2	2	2		2	3	2	1		1	3	3		250	2	125	não sabe	solteira
198	1	2	17	1	1	1	3	2		2	3	5	1		1	4	2	500	1500	6	250	baixa	solteiro
199	1	2	16	1	1	1	3	2		2	3	6	1		1	4	3		900	6	150	média	solteira
200	1	3	17	1	1	1	3	2		2	3	4	1		1	3	1	100	250	4	63	baixa	solteira
201	1	1	1	1	1	1	3	1	2	2	3	3	1		1	3	3		465	3	155	não sabe	solteira
202	1	2	18	1	1	1	3	1	1	1	5	7	1		2	4	3		500	7	71	baixa	solteira
203	1	2	18	1	1	1	3	2		2	3	4	1		3	3	1	160	700	4	175	baixa	solteira
204	1	3	22	1	1	1	2	2		2	6	3	1		1	3	2	22	800	4	200	pobre	solteira
205	1	3	20	4	1	1	3	1	1	1	3	4	1		1	4	2	190	700	4	175	baixa	solteira
206	1	3	21	1	1	1	5	1	1	2	5	3	1		1	3	3		240	3	80	não sabe	solteira
207	1	2	20	1	1	1	6	1	1	1	3	5	1		1	3	3		1	5	0	não sabe	não sabe
208	1	2	19	1	1	1	3	2		2	4	3	1		3	3	3		500	3	167	não sabe	casada
209	1	4	19	1	1	1	3	2		2	3	7	1		1	3	2	90	490	7	70	simples	solteira
210	1	3	22	1	1	1	3	1	1	2	6	3	1		3	3	2	300	840	3	280	baixa	solteira
211	1	2	22	1	1	1	3	2		2	6	5	1		1	3	2	90	855	5	171	não sabe	solteira
212	3	4	19	2	1	1	1	2		2	6	5	1		2	4	3		1500	5	300	pobre	solteiro
213	3	4	18	2	4	1	1	2		1	3	3	1		4	3	3		700	3	233	solteira	5
214	3	4	19	2	1	1	2	1	4	1	5	3	1		1	3	1	600	1200	3	400	média	solteira
215	3	4	19	2	1	1	3	2		2	3	4	1		4	3	3		800	4	200	baixa	solteira
216	3	4	20	3	4	1	2	2		2	6	3	1		1	3	1	1000	2000	3	667	não respondeu	solteira
217	3	4	19	1	1	1	2	2		2	4	3	1		1	3	1	450	800	3	267	baixo	solteira
218	3	4	20	1	1	1	6	2		1	7	7	1		1	5	1	750	3000	7	429	média	solteira
219	3	4	18	3	2	1	3	2		2	3	4	1		1	3	3		800	4	200	média	casada
220	3	4	21	1	1	1	1	1	1	2	4	6	1		1	4	1	700	1500	6	250	média	solteira
221	3	4	20	3	2	1	1	1	1	2	3	4	1		1	3	1	1200	3200	4	800	baixa	casada
222	3	3	15	2	3	1	6	1	2	1	3	5	1		1	3	3		800	5	160	baixa	solteira
223	3	4	15	2	2	1	1	2		2	3	5	1		1	3	3		900	4	225	não sabe	solteira
224	3	2	20	3	3	1	3	1	2	2	5	4	1		1	3	2	530	650	3	217	baixa	solteira
225	3	4	16	4	2	1	2	2		2	3	8	1		1	4	1	325	1	8	0	baixa	solteira
226	3	2	19	2	2	1	98	2		2	4	6	1		1	4	1	300	465	6	78	média	casada
227	3	3	8	2	1	1	1	1	1	2	3	3	1		1	3	3		450	3	150	média	casada
228	3	2	16	3	2	1	1	2		2	4	3	1		3	3	3		600	3	200	baixa	solteiro
229	3	4	21	2	3	1	2	1	1	2	3	4	1		2	3	1	350	1100	4	275	baixa	solteira
230	3	3	17	2	1	1	2	1	1	2	5	4	1		3	4	3		1900	4	475	baixa	solteira
231	2	2	16	1	1	1	3	1	2	2	5	6	1		1	4	3		490	6	82	média	solteira
232	2	2	21	1	1	1	2	2		2	6	5	1		1	3	3		1000	5	200	pobre	solteira
233	2	2	18	1	3	1	3	1	6	1	5	3	1		1	3	1	240	700	3	233	baixa	solteira
234	2	2	21	1	1	1	3	2		2	3	3	1		1	3	3		400	3	133	média	solteira
235	2	2	18	1	1	1	2	2		2	3	11	1		3	4	3		700	11	64	baixa	juntada
236	2	2	17	1	1	1	3	1	1	2	3	3	1		1	3	3		400	3	133	média	solteira
237	2	2	20	1	1	1	5	1	2	2	6	3	1		1	4	1	800	1500	3	500	baixa	casada
238	2	1	16	1	1	1	98	1	2	2	3	3	1		3	3	3		400	3	133	baixa	solteira
239	2	2	15	1	1	1	3	2		2	3	5	1		1	3	3		400	5	80	média	solteira
240	2	2	17	1	1	1	1	2		2	5	5	1		1	4	3		800	5	160	Baixa	solteira
241	2	2	22	1	1	1	3	1	1	2	5	4	1		1	3	2	65	100	4	25	média	solteira
242	2	4	18	1	4	1	6	2		2	3	7	1		1	3	3		1	99	0	baixa	solteira
243	2	2	19	1	4	1	2	1	1	1	5	3	1		3	3	3		510	3	170	baixa	solteira
244	2	2	20	1	1	1	3	1	2	2	4	6	1		1	4	1	600	1700	6	283	baixa	solteira
245	2	3	18	1	1	1	1	2		1	5	5	1		3	4	3		1500	5	300	alta	solteira
246	2	2	21	1	1	2	3	2		2	3	2	1		1	3	1	600	600	2	300	baixa	solteira
247	2	3	22	4	2	1	2	2		2	6	9	1		1	4	3		1	99	0	baixa	solteira
248	2	2	19	3	4	1	2	1	2	2	5	3	1		1	3	3		600	3	200	média	solteira
249	2	2	19	2	4	1	2	1	1	2	5	5	1		3	4	3		510	5	102	não sabe	solteira
250	2	4	19	1	1	1	3	1	2	2	5	3	1		3	3	1	575	1200	3	400	baixa	solteira
510	2	4	21	3	2	1	98	2		1	5	3	1		1	3	3		1900	3	633	média	casada
511	2	4	21	1	1	1	98	1	2	2	3	11	1		3	3	2	112	262	11	24	baixa	solteira
512	2	4	21	1	1	1	3	2		2	6	3	1		1	3	1	200	1200	3	400	média	solteira
513	2	2	18	1	1	1	3	2		2	3	5	1		3	3	3		550	5	110	pobre	solteiro
251	1	3	19	1	1	1	3	1	1	2	3	4	1		3	3	3		200	4	50	Pobre	Solteira
252	1	3	19	4	4	1	3	2		2	4	3	2		3	4	3		465	3	155	Baixa	Solteira
253	1	2	22	2	1	1	3	2		1	3	3	1		1	3	2	100	600	2	300	Humilde	Solteira
254	1	3	21	1	98	1	3	2		2	3	3	1		4	3	3		90	3	30	Média	Solteira
255	1	3	16	1	1	1	3	2		2	3	8	1		2	3	3		500	3	167	Baixa	Solteira
256	1	3	19	1	1	1	98	2		2	3	9	1		2	4	2	112	350	9	39	Biaxa	Solteira
257	1	3	18	1	1	1	3	2		2	3	3	1		1	3	3		250	3	83	Média	Solteira
258	1	3	17	1	1	1	3	1	1	1	4	5	1		2	4	2	100	500	5	100	Média-baixa	Solteira
259	1	4	20	1	1	1	2	2		2	3	5	1		1	4	3		465	5	93	média	Solteira
260	1	2	16	2	1	1	3	2		2	3	6	1		1	4	3		930	6	155	Média	Solteira
261	1	2	17	1	2	1	2	2		2	3	3	1		1	3	3		400	3	133	Baixa	Solteira
262	1	4	19	2	1	1	3	2		1	3	3	1		1	4	3		465	3	155	Média	Solteira
263	1	4	17	2	4	1	1	2		2	4	3	1		3	3	3		200	3	67	Baixa	Solteira
264	1	4	19	2	4	2	3	1	2	2	5	4	1		1	4	3		405	4	101	Média	Solteira
265	1	4	19	1	1	2	2	2		2	3	3	1		3	3	3		400	3	133	Pobre	Solteira
266	1	4	20	1	4	2	3	1	2	2	6	3	1		3	3	1	200	500	3	167	Baixa	Solteira
267	1	3	22	1	1	1	3	1	2	2	3	5	1		2	3	2	82	250	5	50	Baixa	Solteira
268	1	4	18	1	1	2	3	2		2	3	7	1		3	4	2	90	900	7	129	Baixa	Solteira
269	1	2	18	1	1	1	3	2		2	3	2	1		3	3	2	300	300	2	150	Média	Solteira
270	1	3	15	1	1	1	3	2		1	3	6	1		2	4	3		700	6	117	Média	Solteira
271	1	4	22	1	1	1	3	1	2	2	3	3	1		4	4	2	112	500	4	125	Média	Solteira
272	1	2	16	1	1	1	6	2		2	3	3	1		1	4	3		450	3	150	Não sabe	Casada
273	1	2	19	2	4	1	3	1	6	2	3	6	1		2	4	1	200	865	6	144	Média	Solteira
274	1	4	20	1	3	1	3	1	1	2	5	4	1		3	4	2	100	500	4	125	Média	Solteira
275	1	3	16	1	1	1	3	2		1	3	4	1		1	3	3		450	6	75	Não sabe	Solteira
276	1	2	18	1	1	1	2	1	2	1	5	2	1		1	3	3		600	2	300	Média	Casada
277	1	2	21	1	1	1	2	1	1	2	5	7	1		1	3	2	570	900	7	129	Baixa	Solteira
278	1	4	19	1	1	1	6	1	2	2	3	3	1		2	3	3		650	3	217	Média	Solteira
279	1	4	18	1	1	1	2	2		2	5	3	1		1	3	3		450	3	150	média	Solteira
280	1	4	17	2	4	1	1	2		2	3	3	1		3	3	3		400	3	133	Média	Casada
281	1	3	22	1	4	1	3	2		2	5	8	1		1	4	2	70	1162	7	166	Baixa	Solteira
