"Número"	"NCidade"	"Local"	"Idade"	"Cidade"	"Tempo"	"Bairro"	"Cor"	"Religião"	"Religião_qual"	"Estudando"	"Estudo"	"Casa"	"Qualeotipodehabitacao"	"Habit_outro"	"Habit_alug"	"Comodos"	"Trabalho"	"Recursos"	"Renda_familiar"	"Renda_div_pessoa"	"Renda_da_familia"	"Classe"	"Civil"
"373"	369	3	2	15	4	3	1	6	2	NA	2	3	4	1	""	3	3	4	NA	1000	4	250	"Mínima"	"Solteira"
"252"	511	2	4	21	1	1	1	98	1	2	2	3	11	1	""	3	3	2	112	262	11	24	"baixa"	"solteira"
"385"	381	3	1	16	2	2	1	1	2	NA	2	3	5	1	""	4	3	3	NA	1570	5	314	"Média"	"Solteira"
"488"	484	2	2	17	1	1	1	3	1	2	2	3	4	1	""	3	3	3	NA	400	4	100	"Baixa"	"Solteira"
"387"	383	3	1	17	3	3	1	1	2	NA	2	3	3	1	""	3	4	3	NA	2500	3	833	"Média"	"Solteira"
"13"	13	1	3	16	2	1	1	1	2	NA	2	3	3	1	""	1	3	3	NA	465	3	155	"Não soube responder"	"Solteira"
"266"	262	1	4	19	2	1	1	3	2	NA	1	3	3	1	""	1	4	3	NA	465	3	155	"Média"	"Solteira"
"372"	368	3	4	21	1	1	1	3	1	1	2	6	6	1	""	1	4	1	650	2045	6	341	"Baixa"	"Solteira"
"171"	171	1	3	19	1	1	1	3	1	6	2	6	6	1	""	2	4	3	NA	400	6	67	"baixa"	"solteira"
"519"	519	2	4	22	1	1	1	2	2	NA	2	6	6	1	""	1	3	3	NA	800	6	133	"Pobre"	"Solteira"
"322"	318	1	4	20	1	3	1	2	1	2	2	5	5	1	""	1	3	2	112	112	5	22	"Pobre"	"Solteira"
"486"	482	2	2	17	1	1	1	3	1	2	2	5	3	1	""	4	3	3	NA	510	3	170	"Baixa"	"Solteira"
"54"	54	1	3	18	1	1	1	3	2	NA	2	3	2	1	""	4	3	3	NA	NA	NA	NA	"Nâo sabe"	"solteira"
"203"	203	1	2	18	1	1	1	3	2	NA	2	3	4	1	""	3	3	1	160	700	4	175	"baixa"	"solteira"
"53"	53	1	1	18	1	1	2	1	2	NA	1	5	5	1	""	1	4	3	NA	930	5	186	"Não soube informar"	"amigada"
"99"	99	1	3	21	1	1	1	3	2	NA	1	4	3	1	""	3	3	2	100	200	3	67	"média"	"solteira"
"135"	135	1	2	17	1	1	1	3	2	NA	2	4	6	1	""	1	4	3	NA	465	6	78	"média"	"solteira"
"272"	268	1	4	18	1	1	2	3	2	NA	2	3	7	1	""	3	4	2	90	900	7	129	"Baixa"	"Solteira"
"306"	302	1	3	18	1	1	1	3	2	NA	2	5	6	1	""	3	3	3	NA	1100	6	183	"Baixa"	"Solteira"
"88"	88	1	3	20	1	1	1	3	1	1	2	4	3	1	""	3	3	3	NA	100	3	33	"baixa"	"mora junto"
"366"	362	3	4	17	1	1	1	3	2	NA	2	3	4	1	""	1	3	3	NA	600	4	150	"Baixa"	"Solteira"
"100"	100	1	3	19	1	1	1	1	1	1	2	5	8	1	""	1	4	2	90	800	8	100	"baixa"	"solteira"
"409"	405	2	1	22	1	4	1	3	1	2	1	5	4	1	""	1	3	3	NA	1200	4	300	"Baixa"	"Casada"
"394"	390	3	2	20	3	3	1	3	2	NA	2	5	6	1	""	1	5	3	NA	600	4	150	"Média"	"Casada"
"403"	399	3	3	19	4	3	1	1	1	1	2	5	7	1	""	1	3	1	700	1700	7	243	"Baixa"	"Solteira"
"392"	388	3	2	19	3	4	1	1	1	2	2	3	7	1	""	1	3	3	NA	2060	7	294	"Média"	"Casada"
"336"	332	3	3	18	1	1	1	2	1	1	1	5	6	1	""	2	4	2	100	1000	6	167	"Média"	"Solteira"
"293"	289	1	2	18	1	1	1	5	1	1	2	3	8	1	""	2	3	3	NA	190	8	24	"Não sabe"	"Solteira"
"518"	518	2	3	16	1	1	1	3	2	NA	2	5	3	1	""	4	3	3	NA	700	3	233	"Média"	"Solteira"
"280"	276	1	2	18	1	1	1	2	1	2	1	5	2	1	""	1	3	3	NA	600	2	300	"Média"	"Casada"
"431"	427	2	2	18	1	1	1	3	1	1	1	7	4	1	""	1	3	3	NA	800	3	267	"Baixa"	"Solteira"
"140"	140	1	2	21	2	2	1	3	2	NA	2	6	6	1	""	3	3	3	NA	900	6	150	"baixa"	"solteira"
"253"	512	2	4	21	1	1	1	3	2	NA	2	6	3	1	""	1	3	1	200	1200	3	400	"média"	"solteira"
"144"	144	1	2	17	1	2	1	1	2	NA	2	3	5	1	""	3	3	3	NA	500	5	100	"baixa"	"solteira"
"328"	324	3	4	21	1	1	1	1	2	NA	2	6	3	1	""	1	4	1	510	1500	3	500	"Médio"	"Solteira"
"277"	273	1	2	19	2	4	1	3	1	6	2	3	6	1	""	2	4	1	200	865	6	144	"Média"	"Solteira"
